0.0167,0.0153,0.0053,0,0.3555,0,0,0,0.074,0.072,0.0755,0.0286,0,0.0121,0.1349,0.0059,0.0116,0,0.0081,0.0214,0.0114,0.0096,0.0127,0,0,0.0103,0.0058,0.0578,0,0.0346,0.0209
0.0211,0.0078,0.0043,0,0.2519,0,0,0,0.0213,0.0702,0.1586,0.0411,0,0.0172,0.1082,0.0036,0.0139,0,0.0052,0.0843,0.0077,0.0059,0.0225,0.0717,0,0.0066,0.0191,0.0489,0,0,0.0089
0.0227,0.0091,0.0037,0,0.1625,0,0,0,0.0729,0.1106,0.1071,0.0513,0,0.0147,0.0786,0.003,0.0117,0,0.0051,0.113,0.01,0.005,0.1092,0.0263,0,0.0057,0.0087,0.0613,0,0,0.0078
0.0322,0.0085,0.0048,0,0.1787,0,0,0,0.0983,0.1166,0.1114,0.0332,0,0.0111,0.0712,0.0043,0.0111,0,0.0054,0.1033,0.0095,0,0.0455,0.0779,0.017,0.0051,0.0075,0.0395,0,0,0.0079
0.0319,0.0075,0.0078,0,0.1919,0,0,0,0.0498,0.1276,0.1328,0.0269,0,0.0131,0.0625,0.0073,0.0134,0,0.0089,0.1159,0.0122,0,0.0393,0.087,0.0098,0.0061,0.0073,0.0352,0,0.0058,0
0.0295,0.0098,0.013,0,0.1682,0,0,0,0.1035,0.1162,0.1195,0.0218,0,0.0231,0.0916,0.0074,0.0101,0,0.0087,0.1236,0.0159,0,0.024,0.0623,0.0069,0.0045,0.0066,0.0295,0,0,0.0043
0.0309,0.0086,0.0044,0,0.1765,0,0,0,0.1,0.1065,0.1414,0.0302,0,0.0268,0.0924,0.007,0.0161,0,0.0085,0.1012,0.0076,0.0062,0.0257,0.0611,0,0.0048,0.0046,0.0334,0.0061,0,0
0.0281,0.0078,0.004,0,0.2328,0,0,0,0.0445,0.1064,0.1268,0.056,0,0.0273,0.0757,0.0049,0.0247,0,0.0134,0.0893,0.0076,0.005,0.0363,0.067,0,0.005,0.0091,0.0254,0.0029,0,0
0.0221,0.012,0.0041,0,0.1854,0,0,0,0.0853,0.1114,0.1168,0.0291,0,0.0377,0.0746,0.0051,0.0191,0,0.0098,0.1025,0.007,0.0058,0.0311,0.0215,0,0.0046,0.0079,0.1038,0.0033,0,0
0.0219,0.0102,0.0028,0,0.2046,0,0,0,0.0456,0.147,0.1135,0.0294,0,0.0466,0.0756,0.0042,0.0204,0,0.0093,0.1407,0.0073,0.0087,0.0199,0.0323,0,0.0063,0.0076,0.0408,0.0053,0,0
0.0226,0.0087,0.003,0,0.2152,0,0,0,0.0792,0.1163,0.1401,0.033,0,0.0427,0.0694,0.0055,0.0187,0,0.0076,0.1364,0.0056,0.0056,0.0124,0.0189,0,0.0048,0.0068,0.0449,0.0026,0,0
0.0174,0.0093,0.00195,0,0.19025,0,0,0,0.17295,0.14435,0.1132,0.08175,0,0.02055,0.02295,0.00225,0.03055,0,0.00395,0.118,0.00855,0.00525,0.00655,0.01085,0,0.0035,0.0041,0.0268,0.005,0,0
0.03515,0.00805,0.00205,0.00305,0.22245,0.1391,0.0149,0.00615,0.0284,0.04125,0.1088,0.02625,0.01755,0.08955,0.06275,0.0047,0.01325,0.00355,0.00535,0.10215,0.00925,0.0235,0.0104,0.0224,0,0,0,0,0,0,0
0.0381,0.0064,0.0073,0.0048,0.1859,0.077,0.0108,0.0054,0.0875,0.1038,0.1136,0.0377,0.0114,0.0768,0.0621,0.0052,0.0278,0.0049,0.0099,0.0258,0.0188,0.0177,0.0145,0.0468,0,0,0,0,0,0,0
0.0384,0.0063,0.0026,0.0027,0.1992,0.0778,0.0082,0.0043,0.1053,0.0314,0.1132,0.0323,0.0101,0.0743,0.0344,0.0045,0.0621,0.0049,0.0084,0.0244,0.0126,0.0672,0.0163,0.0591,0,0,0,0,0,0,0
0.029,0.0048,0.0025,0.0019,0.1792,0.0461,0.0049,0.0042,0.1032,0.0166,0.1176,0.0256,0.0049,0.0454,0.0189,0.0038,0.0761,0.0026,0.0039,0.011,0.0109,0.0281,0.0976,0.1612,0,0,0,0,0,0,0
